"Rows written","Length in tokens","Paragraph text"
"192","676","If you continue an Emacs session for a while, you may accumulate a large number of buffers.  You may then find it convenient to kill the buffers you no longer need.  (Some other editors call this operation close, and talk about “closing the buffer” or “closing the file” visited in the buffer.)  On most operating systems, killing a buffer releases the memory Emacs used for the buffer back to the operating system so that other programs can use it.  Here are some commands for killing buffers: Kill buffer buffer (kill-buffer). Offer to kill each buffer, one by one. Offer to kill all buffers matching a regular expression. C-x k (kill-buffer) kills one buffer, whose name you specify in the minibuffer.  The default, used if you type just RET in the minibuffer, is to kill the current buffer.  If you kill the current buffer, another buffer becomes current: one that was current in the recent past but is not displayed in any window now.  If you ask to kill a file-visiting buffer that is modified, then you must confirm with yes before the buffer is killed. The command M-x kill-some-buffers asks about each buffer, one by one.  An answer of yes means to kill the buffer, just like kill-buffer.  This command ignores buffers whose names begin with a space, which are used internally by Emacs. The command M-x kill-matching-buffers prompts for a regular expression and kills all buffers whose names match that expression. See Syntax of Regular Expressions.  Like kill-some-buffers, it asks for confirmation before each kill.  This command normally ignores buffers whose names begin with a space, which are used internally by Emacs. To kill internal buffers as well, call kill-matching-buffers with a prefix argument. The Buffer Menu feature is also convenient for killing various buffers.  See Operating on Several Buffers. If you want to do something special every time a buffer is killed, you can add hook functions to the hook kill-buffer-hook (see Hooks). If you run one Emacs session for a period of days, as many people do, it can fill up with buffers that you used several days ago.  The command M-x clean-buffer-list is a convenient way to purge them; it kills all the unmodified buffers that you have not used for a long time.  An ordinary buffer is killed if it has not been displayed for three days; however, you can specify certain buffers that should never be killed automatically, and others that should be killed if they have been unused for a mere hour.  These defaults, and other aspects of this command’s behavior, can be controlled by customizing several options described in the doc string of clean-buffer-list. You can also have this buffer purging done for you, once a day, by enabling Midnight mode.  Midnight mode operates each day at midnight; at that time, it runs clean-buffer-list, or whichever functions you have placed in the normal hook midnight-hook (see Hooks).  To enable Midnight mode, use the Customization buffer to set the variable midnight-mode to t.  See Easy Customization Interface."
"193","1198","Begin editing a buffer listing all Emacs buffers. Similar, but do it in another window. The Buffer Menu opened by C-x C-b (see Listing Existing Buffers) does not merely list buffers.  It also allows you to perform various operations on buffers, through an interface similar to Dired (see Dired, the Directory Editor).  You can save buffers, kill them (here called deleting them, for consistency with Dired), or display them. To use the Buffer Menu, type C-x C-b and switch to the window displaying the *Buffer List* buffer.  You can also type M-x buffer-menu to open the Buffer Menu in the selected window. Alternatively, the command M-x buffer-menu-other-window opens the Buffer Menu in another window, and selects that window. The Buffer Menu is a read-only buffer, and can be changed only through the special commands described in this section.  The usual cursor motion commands can be used in this buffer.  The following commands apply to the buffer described on the current line: Flag the buffer for deletion (killing), then move point to the next line (Buffer-menu-delete).  The deletion flag is indicated by the character ‘D’ on the line, before the buffer name.  The deletion occurs only when you type the x command (see below). Like d, but move point up instead of down (Buffer-menu-delete-backwards). Flag the buffer for saving (Buffer-menu-save).  The save flag is indicated by the character ‘S’ on the line, before the buffer name.  The saving occurs only when you type x.  You may request both saving and deletion for the same buffer. Perform all flagged deletions and saves (Buffer-menu-execute). Remove all flags from the current line, and move down (Buffer-menu-unmark).  With a prefix argument, moves up after removing the flags. Move to the previous line and remove all flags on that line (Buffer-menu-backup-unmark). Remove a particular flag from all lines (Buffer-menu-unmark-all-buffers).  This asks for a single character, and unmarks buffers marked with that character; typing RET removes all marks. Remove all flags from all the lines (Buffer-menu-unmark-all). The commands for removing flags, d and C-d, accept a numeric argument as a repeat count. The following commands operate immediately on the buffer listed on the current line.  They also accept a numeric argument as a repeat count. Mark the buffer as unmodified (Buffer-menu-not-modified). See Commands for Saving Files. Toggle the buffer’s read-only status (Buffer-menu-toggle-read-only).  See Miscellaneous Buffer Operations. Visit the buffer as a tags table (Buffer-menu-visit-tags-table).  See Selecting a Tags Table. The following commands are used to select another buffer or buffers: Quit the Buffer Menu (quit-window).  The most recent formerly visible buffer is displayed in its place. Select this line’s buffer, replacing the *Buffer List* buffer in its window (Buffer-menu-this-window). Select this line’s buffer in another window, as if by C-x 4 b, leaving *Buffer List* visible (Buffer-menu-other-window). Display this line’s buffer in another window, without selecting it (Buffer-menu-switch-other-window). Select this line’s buffer in a full-frame window (Buffer-menu-1-window). Set up two windows on the current frame, with this line’s buffer selected in one, and a previously current buffer (aside from *Buffer List*) in the other (Buffer-menu-2-window). Bury this line’s buffer (Buffer-menu-bury) (i.e., move it to the end of the buffer list). Mark this line’s buffer to be displayed in another window if you exit with the v command (Buffer-menu-mark).  The display flag is indicated by the character ‘>’ at the beginning of the line. (A single buffer may not have both deletion and display flags.) Select this line’s buffer, and also display in other windows any buffers flagged with the m command (Buffer-menu-select). If you have not flagged any buffers, this command is equivalent to 1. The following commands affect the entire buffer list: Sort the Buffer Menu entries according to their values in the column at point.  With a numeric prefix argument n, sort according to the n-th column (tabulated-list-sort). Widen the current column width by n (the prefix numeric argument) characters. Narrow the current column width by n (the prefix numeric argument) characters. Delete, or reinsert, lines for non-file buffers (Buffer-menu-toggle-files-only).  This command toggles the inclusion of such buffers in the buffer list. Normally, the buffer *Buffer List* is not updated automatically when buffers are created and killed; its contents are just text.  If you have created, deleted or renamed buffers, the way to update *Buffer List* to show what you have done is to type g (revert-buffer).  You can make this happen regularly every auto-revert-interval seconds if you enable Auto Revert mode in this buffer, as long as it is not marked modified.  Global Auto Revert mode applies to the *Buffer List* buffer only if global-auto-revert-non-file-buffers is non-nil. See global-auto-revert-non-file-buffers, for details."
"194","53","An indirect buffer shares the text of some other buffer, which is called the base buffer of the indirect buffer.  In some ways it is a buffer analogue of a symbolic link between files. Create an indirect buffer named indirect-name with base buffer base-buffer."
"195","494","Create an indirect buffer that is a twin copy of the current buffer. Create an indirect buffer that is a twin copy of the current buffer, and select it in another window (clone-indirect-buffer-other-window). The text of the indirect buffer is always identical to the text of its base buffer; changes made by editing either one are visible immediately in the other.  “Text” here includes both the characters and their text properties.  But in all other respects, the indirect buffer and its base buffer are completely separate.  They can have different names, different values of point, different narrowing, different markers, different overlays, different major modes, and different local variables. An indirect buffer cannot visit a file, but its base buffer can.  If you try to save the indirect buffer, that actually works by saving the base buffer.  Killing the base buffer effectively kills the indirect buffer, but killing an indirect buffer has no effect on its base buffer. One way to use indirect buffers is to display multiple views of an outline.  See Viewing One Outline in Multiple Views. A quick and handy way to make an indirect buffer is with the command M-x clone-indirect-buffer.  It creates and selects an indirect buffer whose base buffer is the current buffer.  With a numeric argument, it prompts for the name of the indirect buffer; otherwise it uses the name of the current buffer, with a ‘<n>’ suffix added.  C-x 4 c (clone-indirect-buffer-other-window) works like M-x clone-indirect-buffer, but it selects the new buffer in another window.  These functions run the hook clone-indirect-buffer-hook after creating the indirect buffer. The more general way to make an indirect buffer is with the command M-x make-indirect-buffer.  It creates an indirect buffer named indirect-name from a buffer base-buffer, prompting for both using the minibuffer. Note: When a modification is made to the text of a buffer, the modification hooks are run only in the base buffer, because most of the functions on those hooks are not prepared to work correctly in indirect buffers.  So if you need a modification hook function in an indirect buffer, you need to manually add that function to the hook in the base buffer and then make the function operate in the desired indirect buffer."
"196","17","This section describes several modes and features that make it more convenient to switch between buffers."
"197","570","When several buffers visit identically-named files, Emacs must give the buffers distinct names.  The default method adds a suffix based on the names of the directories that contain the files.  For example, if you visit files /foo/bar/mumble/name and /baz/quux/mumble/name at the same time, their buffers will be named ‘name<bar/mumble>’ and ‘name<quux/mumble>’, respectively. Emacs adds as many directory parts as are needed to make a unique name. You can choose from several different styles for constructing unique buffer names, by customizing the option uniquify-buffer-name-style. The forward naming method includes part of the file’s directory name at the beginning of the buffer name; using this method, buffers visiting the files /u/rms/tmp/Makefile and /usr/projects/zaphod/Makefile would be named ‘tmp/Makefile’ and ‘zaphod/Makefile’. In contrast, the post-forward naming method would call the buffers ‘Makefile|tmp’ and ‘Makefile|zaphod’.  The default method post-forward-angle-brackets is like post-forward, except that it encloses the unique path in angle brackets.  The reverse naming method would call them ‘Makefile\tmp’ and ‘Makefile\zaphod’.  The nontrivial difference between post-forward and reverse occurs when just one directory name is not enough to distinguish two files; then reverse puts the directory names in reverse order, so that /top/middle/file becomes ‘file\middle\top’, while post-forward puts them in forward order after the file name, as in ‘file|top/middle’.  If uniquify-buffer-name-style is set to nil, the buffer names simply get ‘<2>’, ‘<3>’, etc. appended. The value of uniquify-buffer-name-style can be set to a customized function with two arguments base and extra-strings where base is a string and extra-strings is a list of strings.  For example the current implementation for post-forward-angle-brackets could be: Which rule to follow for putting the directory names in the buffer name is not very important if you are going to look at the buffer names before you type one.  But as an experienced user, if you know the rule, you won’t have to look.  And then you may find that one rule or another is easier for you to remember and apply quickly."
"198","476","Icomplete global minor mode provides a convenient way to quickly select an element among the possible completions in a minibuffer.  When enabled, typing in the minibuffer continuously displays a list of possible completions that match the string you have typed. At any time, you can type C-j to select the first completion in the list.  So the way to select a particular completion is to make it the first in the list.  There are two ways to do this.  You can type more of the completion name and thus narrow down the list, excluding unwanted completions above the desired one.  Alternatively, you can use C-. and C-, to rotate the list until the desired buffer is first. M-TAB will select the first completion in the list, like C-j but without exiting the minibuffer, so you can edit it further.  This is typically used when entering a file name, where M-TAB can be used a few times to descend in the hierarchy of directories. To enable Icomplete mode, type M-x icomplete-mode, or customize the variable icomplete-mode to t (see Easy Customization Interface). An alternative to Icomplete mode is Fido mode.  This is very similar to Icomplete mode, but retains some functionality from a popular extension called Ido mode (in fact the name is derived from “Fake Ido”).  Among other things, in Fido mode, C-s and C-r are also used to rotate the completions list, C-k can be used to delete files and kill buffers in-list.  Another noteworthy aspect is that flex is used as the default completion style (see How Completion Alternatives Are Chosen).  To change this, add the following to your initialization file (see The Emacs Initialization File): To enable Fido mode, type M-x fido-mode, or customize the variable fido-mode to t (see Easy Customization Interface). Icomplete mode and Fido mode display the possible completions on the same line as the prompt by default.  To display the completion candidates vertically under the prompt, type M-x icomplete-vertical-mode, or customize the variable icomplete-vertical-mode to t (see Easy Customization Interface)."
"199","310","Make a list of buffers similarly to M-x list-buffers but customizable. Make a list of buffers and operate on them in Dired-like fashion. M-x bs-show pops up a buffer list similar to the one normally displayed by C-x C-b, but whose display you can customize in a more flexible fashion.  For example, you can specify the list of buffer attributes to show, the minimum and maximum width of buffer name column, a regexp for names of buffers that will never be shown and those which will always be shown, etc.  If you prefer this to the usual buffer list, you can bind this command to C-x C-b.  To customize this buffer list, use the bs Custom group (see Easy Customization Interface), or invoke bs-customize. MSB global minor mode (“MSB” stands for “mouse select buffer”) provides a different and customizable mouse buffer menu which you may prefer.  It replaces the mouse-buffer-menu commands, normally bound to C-Down-mouse-1 and C-F10, with its own commands, and also modifies the menu-bar buffer menu.  You can customize the menu in the msb Custom group. IBuffer is a major mode for viewing a list of buffers and operating on them in a way analogous to that of Dired (see Dired, the Directory Editor), including filtering, marking, sorting in various ways, and acting on buffers."
"200","58","Emacs can split a frame into two or many windows.  Multiple windows can display parts of different buffers, or different parts of one buffer.  Multiple frames always imply multiple windows, because each frame has its own set of windows.  Each window belongs to one and only one frame."
"201","383","Each Emacs window displays one Emacs buffer at any time.  A single buffer may appear in more than one window; if it does, any changes in its text are displayed in all the windows where it appears.  But these windows can show different parts of the buffer, because each window has its own value of point. At any time, one Emacs window is the selected window; the buffer this window is displaying is the current buffer.  On graphical displays, the point is indicated by a solid blinking cursor in the selected window, and by a hollow box in non-selected windows.  On text terminals, the cursor is drawn only in the selected window. See Displaying the Cursor. Commands to move point affect the value of point for the selected Emacs window only.  They do not change the value of point in other Emacs windows, even those showing the same buffer.  The same is true for buffer-switching commands such as C-x b; they do not affect other windows at all.  However, there are other commands such as C-x 4 b that select a different window and switch buffers in it. Also, all commands that display information in a window, including (for example) C-h f (describe-function) and C-x C-b (list-buffers), usually work by displaying buffers in a nonselected window without affecting the selected window. When multiple windows show the same buffer, they can have different regions, because they can have different values of point.  However, they all have the same value for the mark, because each buffer has only one mark position. Each window has its own mode line, which displays the buffer name, modification status and major and minor modes of the buffer that is displayed in the window.  The selected window’s mode line appears in a different color.  See The Mode Line, for details."
"202","831","Split the selected window into two windows, one above the other (split-window-below). Split the selected window into two windows, positioned side by side (split-window-right). In the mode line of a window, split that window. C-x 2 (split-window-below) splits the selected window into two windows, one above the other.  After splitting, the selected window is the upper one, and the newly split-off window is below. Both windows have the same value of point as before, and display the same portion of the buffer (or as close to it as possible).  If necessary, the windows are scrolled to keep point on-screen.  By default, the two windows each get half the height of the original window.  A positive numeric argument specifies how many lines to give to the top window; a negative numeric argument specifies how many lines to give to the bottom window. If you change the variable split-window-keep-point to nil, C-x 2 instead adjusts the portion of the buffer displayed by the two windows, as well as the value of point in each window, in order to keep the text on the screen as close as possible to what it was before; furthermore, if point was in the lower half of the original window, the bottom window is selected instead of the upper one. C-x 3 (split-window-right) splits the selected window into two side-by-side windows.  The left window is the selected one; the right window displays the same portion of the same buffer, and has the same value of point.  A positive numeric argument specifies how many columns to give the left window; a negative numeric argument specifies how many columns to give the right window. When you split a window with C-x 3, each resulting window occupies less than the full width of the frame.  If it becomes too narrow, the buffer may be difficult to read if continuation lines are in use (see Continuation Lines).  Therefore, Emacs automatically switches to line truncation if the window width becomes narrower than 50 columns.  This truncation occurs regardless of the value of the variable truncate-lines (see Line Truncation); it is instead controlled by the variable truncate-partial-width-windows.  If the value of this variable is a positive integer (the default is 50), that specifies the minimum total width for a partial-width window before automatic line truncation occurs; if the value is nil, automatic line truncation is disabled; and for any other non-nil value, Emacs truncates lines in every partial-width window regardless of its width. The total width of a window is in column units as reported by window-total-width (see Window Sizes in The Emacs Lisp Reference Manual), it includes the fringes, the continuation and truncation glyphs, the margins, and the scroll bar. On text terminals, side-by-side windows are separated by a vertical divider which is drawn using the vertical-border face. If you click C-mouse-2 in the mode line of a window, that splits the window, putting a vertical divider where you click. Depending on how Emacs is compiled, you can also split a window by clicking C-mouse-2 in the scroll bar, which puts a horizontal divider where you click (this feature does not work when Emacs uses GTK+ scroll bars). By default, when you split a window, Emacs gives each of the resulting windows dimensions that are an integral multiple of the default font size of the frame.  That might subdivide the screen estate unevenly between the resulting windows.  If you set the variable window-resize-pixelwise to a non-nil value, Emacs will give each window the same number of pixels (give or take one pixel if the initial dimension was an odd number of pixels).  Note that when a frame’s pixel size is not a multiple of the frame’s character size, at least one window may get resized pixelwise even if this option is nil."
"203","577","Select another window (other-window). Scroll the next window upward (scroll-other-window). Scroll the next window downward (scroll-other-window-down). Recenter the next window (recenter-other-window). mouse-1, in the text area of a window, selects the window and moves point to the position clicked.  Clicking in the mode line selects the window without moving point in it. With the keyboard, you can switch windows by typing C-x o (other-window).  That is an o, for “other”, not a zero. When there are more than two windows, this command moves through all the windows in a cyclic order, generally top to bottom and left to right. After the rightmost and bottommost window, it goes back to the one at the upper left corner.  A numeric argument means to move several steps in the cyclic order of windows.  A negative argument moves around the cycle in the opposite order.  When the minibuffer is active, the minibuffer window is the last window in the cycle; you can switch from the minibuffer window to one of the other windows, and later switch back and finish supplying the minibuffer argument that is requested. See Editing in the Minibuffer. The other-window command will normally only switch to the next window in the current frame (unless otherwise configured).  If you work in a multi-frame environment and you want windows in all frames to be part of the cycle, you can rebind C-x o to the next-window-any-frame command.  (See Changing Key Bindings Interactively, for how to rebind a command.) The usual scrolling commands (see Controlling the Display) apply to the selected window only, but there are also commands to scroll the next window. C-M-v (scroll-other-window) scrolls the window that C-x o would select.  In other respects, the command behaves like C-v; both move the buffer text upward relative to the window, and take positive and negative arguments.  (In the minibuffer, C-M-v scrolls the help window associated with the minibuffer, if any, rather than the next window in the standard cyclic order; see Editing in the Minibuffer.)  C-M-S-v (scroll-other-window-down) scrolls the next window downward in a similar way.  Likewise, C-M-S-l (recenter-other-window) behaves like C-l (recenter-top-bottom) in the next window. If you set mouse-autoselect-window to a non-nil value, moving the mouse over a different window selects that window.  This feature is off by default."
"204","329","C-x 4 is a prefix key for a variety of commands that switch to a buffer in a different window—either another existing window, or a new window created by splitting the selected window.  See How display-buffer works, for how Emacs picks or creates the window to use. Select buffer bufname in another window (switch-to-buffer-other-window).  See Creating and Selecting Buffers. Display buffer bufname in some window, without trying to select it (display-buffer).  See Displaying a Buffer in a Window, for details about how the window is chosen. Visit file filename and select its buffer in another window (find-file-other-window).  See Visiting Files. Select a Dired buffer for directory directory in another window (dired-other-window).  See Dired, the Directory Editor. Start composing a mail message, similar to C-x m (see Sending Mail), but in another window (compose-mail-other-window). Find the definition of an identifier, similar to M-. (see Find Identifier References), but in another window (xref-find-definitions-other-window). Visit file filename read-only, and select its buffer in another window (find-file-read-only-other-window).  See Visiting Files. A more general prefix command affects the buffer displayed by the next command invoked immediately after this prefix command.  It requests the buffer of the next command to be displayed in another window. This general prefix command requests the buffer of the next command to be displayed in the same window."
"205","762","Delete the selected window (delete-window). Delete all windows in the selected frame except the selected window (delete-other-windows). Delete the selected window and kill the buffer that was showing in it (kill-buffer-and-window).  The last character in this key sequence is a zero. Delete windows showing the specified buffer. Make selected window taller (enlarge-window). Make selected window wider (enlarge-window-horizontally). Make selected window narrower (shrink-window-horizontally). Shrink this window if its buffer doesn’t need so many lines (shrink-window-if-larger-than-buffer). Make all windows the same height (balance-windows). To delete the selected window, type C-x 0 (delete-window).  (That is a zero.)  Once a window is deleted, the space that it occupied is given to an adjacent window (but not the minibuffer window, even if that is active at the time).  Deleting the window has no effect on the buffer it used to display; the buffer continues to exist, and you can still switch to it with C-x b. The option delete-window-choose-selected allows to choose which window becomes the new selected window instead (see Deleting Windows in The Emacs Lisp Reference Manual). C-x 4 0 (kill-buffer-and-window) is a stronger command than C-x 0; it kills the current buffer and then deletes the selected window. C-x 1 (delete-other-windows) deletes all the windows, except the selected one; the selected window expands to use the whole frame.  (This command cannot be used while the minibuffer window is active; attempting to do so signals an error.) M-x delete-windows-on deletes windows that show a specific buffer.  It prompts for the buffer, defaulting to the current buffer. With prefix argument of zero, C-u 0, this command deletes windows only on the current display’s frames. The command C-x ^ (enlarge-window) makes the selected window one line taller, taking space from a vertically adjacent window without changing the height of the frame.  With a positive numeric argument, this command increases the window height by that many lines; with a negative argument, it reduces the height by that many lines. If there are no vertically adjacent windows (i.e., the window is at the full frame height), that signals an error.  The command also signals an error if you attempt to reduce the height of any window below a certain minimum number of lines, specified by the variable window-min-height (the default is 4). Similarly, C-x } (enlarge-window-horizontally) makes the selected window wider, and C-x { (shrink-window-horizontally) makes it narrower.  These commands signal an error if you attempt to reduce the width of any window below a certain minimum number of columns, specified by the variable window-min-width (the default is 10). Mouse clicks on the mode line (see Mode Line Mouse Commands) or on window dividers (see Window Dividers) provide another way to change window heights and to split or delete windows. C-x - (shrink-window-if-larger-than-buffer) reduces the height of the selected window, if it is taller than necessary to show the whole text of the buffer it is displaying.  It gives the extra lines to other windows in the frame. You can also use C-x + (balance-windows) to even out the heights of all the windows in the selected frame."
"206","341","It is a common Emacs operation to display or pop up some buffer in response to a user command.  There are several different ways in which commands do this. Many commands, like C-x C-f (find-file), by default display the buffer by “taking over” the selected window, expecting that the user’s attention will be diverted to that buffer. Some commands try to display intelligently, trying not to take over the selected window, e.g., by splitting off a new window and displaying the desired buffer there.  Such commands, which include the various help commands (see Help), work by calling display-buffer internally.  See How display-buffer works, for details. Other commands do the same as display-buffer, and additionally select the displaying window so that you can begin editing its buffer.  The command M-g M-n (next-error) is one example (see Compilation Mode).  Such commands work by calling the function pop-to-buffer internally.  See Switching to a Buffer in a Window in The Emacs Lisp Reference Manual. Commands with names ending in -other-window behave like display-buffer, except that they never display in the selected window.  Several of these commands are bound in the C-x 4 prefix key (see Displaying in Another Window). Commands with names ending in -other-frame behave like display-buffer, except that they (i) never display in the selected window and (ii) prefer to either create a new frame or use a window on some other frame to display the desired buffer.  Several of these commands are bound in the C-x 5 prefix key."
"207","215","The display-buffer command (as well as commands that call it internally) chooses a window to display by following the steps given below.  See Choosing a Window for Displaying a Buffer in The Emacs Lisp Reference Manual, for details about how to alter this sequence of steps. By default, display-buffer-alist is nil. This customization will also try to make the preceding step search for a reusable window on all visible or iconified frames. The split can be either vertical or horizontal, depending on the variables split-height-threshold and split-width-threshold.  These variables should have integer values.  If split-height-threshold is smaller than the chosen window’s height, the split puts the new window below.  Otherwise, if split-width-threshold is smaller than the window’s width, the split puts the new window on the right.  If neither condition holds, Emacs tries to split so that the new window is below—but only if the window was not split before (to avoid excessive splitting)."
"208","347","Some buffers are shown in windows for perusal rather than for editing. Help commands (see Help) typically use a buffer called *Help* for that purpose, minibuffer completion (see Completion) uses a buffer called *Completions*, etc.  Such buffers are usually displayed only for a short period of time. Normally, Emacs chooses the window for such temporary displays via display-buffer, as described in the previous subsection.  The *Completions* buffer, on the other hand, is normally displayed in a window at the bottom of the selected frame, regardless of the number of windows already shown on that frame. If you prefer Emacs to display a temporary buffer in a different fashion, customize the variable display-buffer-alist (see Choosing a Window for Displaying a Buffer in The Emacs Lisp Reference Manual) appropriately.  For example, to display *Completions* always below the selected window, use the following form in your initialization file (see The Emacs Initialization File): The *Completions* buffer is also special in the sense that Emacs usually tries to make its window just as large as necessary to display all of its contents.  To resize windows showing other temporary displays, like, for example, the *Help* buffer, turn on the minor mode (see Minor Modes) temp-buffer-resize-mode (see Temporary Displays in The Emacs Lisp Reference Manual). The maximum size of windows resized by temp-buffer-resize-mode can be controlled by customizing the options temp-buffer-max-height and temp-buffer-max-width (see Temporary Displays in The Emacs Lisp Reference Manual), and cannot exceed the size of the containing frame."
"209","534","Winner mode is a global minor mode that records the changes in the window configuration (i.e., how the frames are partitioned into windows), so that you can undo them.  You can toggle Winner mode with M-x winner-mode, or by customizing the variable winner-mode.  When the mode is enabled, C-c left (winner-undo) undoes the last window configuration change.  If you change your mind while undoing, you can redo the changes you had undone using C-c right (M-x winner-redo).  To prevent Winner mode from binding C-c left and C-c right, you can customize the variable winner-dont-bind-my-keys to a non-nil value.  By default, Winner mode stores a maximum of 200 window configurations per frame, but you can change that by modifying the variable winner-ring-size.  If there are some buffers whose windows you wouldn’t want Winner mode to restore, add their names to the list variable winner-boring-buffers or to the regexp winner-boring-buffers-regexp. Follow mode (M-x follow-mode) synchronizes several windows on the same buffer so that they always display adjacent sections of that buffer.  See Follow Mode. The Windmove package defines commands for moving directionally between neighboring windows in a frame.  M-x windmove-right selects the window immediately to the right of the currently selected one, and similarly for the left, up, and down counterparts. windmove-default-keybindings binds these commands to S-right etc.; doing so disables shift selection for those keys (see Shift Selection).  In the same way as keybindings can be defined for commands that select windows directionally, you can use windmove-display-default-keybindings to define keybindings for commands that specify in what direction to display the window for the buffer that the next command is going to display.  Also there is windmove-delete-default-keybindings to define keybindings for commands that delete windows directionally, and windmove-swap-states-default-keybindings that defines keybindings for commands that swap the window contents of the selected window with the window in the specified direction. The command M-x compare-windows lets you compare the text shown in different windows.  See Comparing Files. Scroll All mode (M-x scroll-all-mode) is a global minor mode that causes scrolling commands and point motion commands to apply to every single window."
"210","328","The command global-tab-line-mode toggles the display of a tab line on the top screen line of each window.  The Tab Line shows special buttons (“tabs”) for each buffer that was displayed in a window, and allows switching to any of these buffers by clicking the corresponding button.  Clicking on the + icon adds a new buffer to the window-local tab line of buffers, and clicking on the x icon of a tab deletes it.  The mouse wheel on the tab line scrolls the tabs horizontally. Selecting the previous window-local tab is the same as typing C-x LEFT (previous-buffer), selecting the next tab is the same as C-x RIGHT (next-buffer).  Both commands support a numeric prefix argument as a repeat count. You can customize the variable tab-line-tabs-function to define the preferred contents of the tab line.  By default, it displays all buffers previously visited in the window, as described above.  But you can also set it to display a list of buffers with the same major mode as the current buffer, or to display buffers grouped by their major mode, where clicking on the mode name in the first tab displays a list of all major modes where you can select another group of buffers. Note that the Tab Line is different from the Tab Bar (see Tab Bars). Whereas tabs on the Tab Bar at the top of each frame are used to switch between window configurations containing several windows with buffers, tabs on the Tab Line at the top of each window are used to switch between buffers in the window."
"211","351","When Emacs is started on a graphical display, e.g., on the X Window System, it occupies a graphical system-level display region.  In this manual, we call this a frame, reserving the word “window” for the part of the frame used for displaying a buffer.  A frame initially contains one window, but it can be subdivided into multiple windows (see Multiple Windows).  A frame normally also contains a menu bar, tool bar, and echo area. You can also create additional frames (see Creating Frames). All frames created in the same Emacs session have access to the same underlying buffers and other data.  For instance, if a buffer is being shown in more than one frame, any changes made to it in one frame show up immediately in the other frames too. Typing C-x C-c closes all the frames on the current display, and ends the Emacs session if it has no frames open on any other displays (see Exiting Emacs).  To close just the selected frame, type C-x 5 0 (that is zero, not o). This chapter describes Emacs features specific to graphical displays (particularly mouse commands), and features for managing multiple frames.  On text terminals, many of these features are unavailable. However, it is still possible to create multiple frames on text terminals; such frames are displayed one at a time, filling the entire terminal screen (see Non-Window Terminals).  It is also possible to use the mouse on some text terminals (see Using a Mouse in Text Terminals, for doing so on GNU and Unix systems; and see Mouse Usage on MS-DOS, for doing so on MS-DOS).  Menus are supported on all text terminals."
